username,total_score,categ1,categ2,categ3,categ4,articles1,articles2,articles3,articles4,articles5,articles6,articles7,articles8,articles9,articles10
Jeandré du Toit,1022.0,Health,Politics,Geography,Society,"['COVID-19 pandemic in South Africa', 822]","['List of ministers of the environment', 427]","['List of countries by intentional homicide rate', 95]","['Firefly (TV series)', 94]","['Dhanush', 75]","['Pearl Jam', 52]","['Thabo Mbeki', 48]","['Steve Biko', 47]","['List of ministers of climate change', 39]","['Protests against the Iraq War', 36]"
Jeanenawhitney,557.0,Entertainment,Government,Disaster,People,"['Dancing with the Stars (American TV series) season 5', 36]","['Edward Rondthaler', 31]","['Dance War: Bruno vs. Carrie Ann', 26]","['Federal Emergency Management Agency', 24]","['Charles E. Allen', 21]","['Rick Saucedo', 17]","['List of multiple births', 17]","['United States Department of Homeland Security', 17]","['Michael D. Brown', 12]","['Dancing with the Stars (American TV series)', 11]"
JeanetteMartin,910.0,Sports,People,Lists,Culture,"['Boxing in Puerto Rico', 455]","['List of Puerto Ricans', 265]","['Michael Dokes vs. Mike Weaver', 139]","['Menudo (group)', 136]","['Luis Muñoz Marín International Airport', 117]","['Wilfredo Gómez', 112]","['Tony Perez (referee)', 110]","['Sports in Puerto Rico', 109]","['Larry Hazzard', 96]","['Christy Martin vs. Deirdre Gogarty', 95]"
Jeanne,106.0,Other,,,,"['SonDeSeu', 2]",,,,,,,,,
Jebus989,104.0,,,,,,,,,,,,,,
Jecowa,707.0,Entertainment,Law,People,Science,"['Wii', 50]","['Dragon Ball Z Live Action Movie', 23]","['Starfleet ranks and insignia', 18]","['Comparison of seventh-generation game consoles', 18]","['Alcohol laws of Oklahoma', 18]","['Orange (colour)', 16]","['Preadolescence', 15]","['Moff', 15]","['Compete.com', 14]","['Adolescence', 12]"
JedOs,525.0,Business,Health,Military,Technology,"['Curry College', 51]","['Yellow Tail (wine)', 37]","['Diflunisal', 27]","['AK-107', 22]","['Tippmann', 11]","['Yellowtail (fish)', 7]","['Shark', 6]","['Isometric illusion', 6]","['List of firearms', 5]","['Malcolm X', 4]"
JedRothwell,449.0,Energy,History,Science,Technology,"['Cold fusion', 165]","['Wright brothers', 13]","['Martin Fleischmann', 8]","['Pathological science', 6]","['Fusion power', 5]","['Hybrid vehicle', 4]","['Energy conservation', 3]","['Julian Schwinger', 3]","['Stanley Pons', 3]","['William Alden Smith', 2]"
Jedi6,773.0,Entertainment,Technology,Other,,"['List of Star Wars books', 146]","['GameCube', 102]","['Nintendo DS', 63]","['Wii', 46]","['Shadow the Hedgehog (video game)', 46]","['IGN', 37]","['List of Wii games', 37]","['Nintendo', 35]","['The New Jedi Order', 34]","['List of Nintendo products', 31]"
Jeendan,583.0,Government,History,People,Society,"['2007 New South Wales state election campaign', 23]","['Susan Atkins', 14]","['Charles Manson', 13]","['Joe Tripodi', 12]","['Bob Carr', 11]","['Candidates of the 2007 New South Wales state election', 11]","['Morris Iemma', 10]","['Paul Keating', 10]","['Nola Fraser', 8]","['Brownsburg, Indiana', 7]"
Jeeny,621.0,Culture,Society,Time,Other,"['Big Brother 8 (American season)', 704]","['Black people', 106]","['White people', 64]","['Race and intelligence', 42]","['Anna Nicole Smith', 41]","['Racism', 40]","['The Mather School', 39]","['Dorchester, Boston', 36]","['Race (human categorization)', 36]","['Boston accent', 35]"
Jeepday,970.0,Geography,Nature,Transportation,Other,"['Road', 135]","['List of rail trails', 65]","['Tourist trap', 62]","['List of guide dog schools', 34]","['Maize', 28]","['Mexico City Metro', 26]","['Blindness', 26]","['Slate and stylus', 25]","['Kohat', 25]","['Harstine Island, Washington', 21]"
Jeff,0.0,,,,,,,,,,,,,,
Jeff503,475.0,Business,Communication,Culture,Technology,"['Rovana Plumb', 15]","['Internet forum', 9]","['Research and Development Council of New Jersey', 7]","['Jonathan R. Alger', 5]","['Rhinogobius duospilus', 5]","['Pitching pennies', 4]","['Top Gear Korea', 4]","['Me at the Zoo (2012 film)', 4]","['Hot zone', 3]","['Rocket Power', 3]"
Jefffire,558.0,Science,Philosophy,Health,Religion,"['Astrology', 155]","['Homeopathy', 114]","['Cattle mutilation', 83]","['Pseudoscience', 74]","['Chiropractic', 70]","['Cold fusion', 65]","['Orthomolecular medicine', 42]","['Anthroposophy', 32]","['Transcendental Meditation', 30]","['Cognitive-Theoretic Model of the Universe', 29]"
Jeffklib,446.0,History,Education,Business,Geography,"['Beaconhills College', 7]","['Gary Richrath', 2]","['Abbas II of Egypt', 2]","['Coca-Cola', 2]","['Pedro García Aguado', 2]","['Saein Ghaleh', 2]","['French Revolution', 2]","['LMS Class 7F 0-8-0', 1]","['Vierville-sur-Mer', 1]","['Cinema of Pakistan', 1]"
Jeffpw,705.0,Law,Crime,Media,Entertainment,"['James Robert Baker', 346]","['Gay icon', 133]","['Zodiac Killer', 99]","['International Conference to Review the Global Vision of the Holocaust', 92]","['Lifespring', 80]","['Daniel Rodríguez (tenor)', 76]","['If I Did It: Confessions of the Killer', 74]","['Panavision', 71]","['Randy Shilts', 56]","['Kim Delaney', 35]"
Jeffrey R. Clark,1016.0,Sports,Business,Media,History,"['Oklahoma City Thunder', 243]","['Big 12 Conference', 233]","['Oklahoma Sooners football', 175]","['Del City, Oklahoma', 174]","['The Undertaker', 160]","['Del City High School', 125]","['WWE', 119]","['Royal Rumble (2011)', 109]","['List of WWE pay-per-view events', 104]","['Red River Rivalry', 104]"
Jeffwang,606.0,Technology,Education,Business,Science,"['Temple Run', 97]","['State of Texas Assessments of Academic Readiness', 32]","['2010 Copiapó mining accident', 21]","['Ram Kishore Shukla', 14]","['List of mergers and acquisitions by Alphabet', 11]","['National Semiconductor', 10]","['Imangi Studios', 10]","['Texas Assessment of Knowledge and Skills', 8]","['Fandom (website)', 8]","['Texas Instruments', 7]"
Jeffwang16,152.0,,,,,,,,,,,,,,
Jehochman,1048.0,Internet,Military,Science,Conspiracy theories,"['Search engine optimization', 526]","['Planet Nine', 523]","['Gamma-ray burst', 273]","['German submarine U-853', 187]","['World Trade Center controlled demolition conspiracy theories', 158]","['2009 swine flu pandemic', 129]","['Russian submarine Nerpa (K-152)', 87]","['Web 2.0', 80]","['Voice over IP', 69]","['Radio-frequency identification', 67]"
Jellypuzzle,621.0,Music,Internet,Culture,Entertainment,"['Fluxblog', 57]","['Myspace', 23]","['The Fiery Furnaces', 17]","['Spotify', 14]","['Drowned in Sound', 13]","['Alex Kapranos', 12]","['Blueberry Boat', 11]","['Joanna Newsom', 10]","[""Gallowsbird's Bark"", 9]","['Rehearsing My Choir', 8]"
Jena Fi,532.0,Music,Family,Education,Children,"['The Wiggles', 110]","['Anthony Field', 102]","['Sprout (TV network)', 91]","['Greg Page (musician)', 67]","['List of programs broadcast by Universal Kids', 43]","['Sam Moran', 29]","['Jeff Fatt', 25]","['Emma Watkins', 25]","['Lachlan Gillespie', 21]","['Wiggly Waffle', 18]"
Jengod,904.0,History,Slavery,War,Animals,"['Joe Martin (orangutan)', 3269]","['Andrew Jackson and the slave trade in the United States', 2426]","['List of slave traders of the United States', 928]","['Max Wenner', 928]","['Ballona Creek Bike Path', 823]","[""Andrew Johnson's drunk vice-presidential inaugural address"", 748]","['Killing of Osama bin Laden', 608]","['Karl R. Free', 555]","['Ballona Creek', 517]","['Universal City Zoo', 436]"
Jeni,953.0,Transportation,Urban planning,Engineering,Geography,"['List of bus routes in London', 66]","['Roundabout', 39]","['Night buses in London', 30]","['M5 motorway', 29]","['M25 motorway', 28]","['Dines Green', 27]","['Evesham', 26]","['Workington', 26]","['Bromsgrove', 23]","['Richard Hammond', 22]"
Jenks24,1140.0,Sports,Awards,Teams,People,"['List of Melbourne Football Club players', 211]","['2010 Nobel Peace Prize', 158]","['Melbourne Football Club', 132]","['Australian Football League', 126]","['2010 AFL season', 113]","['2011 AFL season', 98]","['2011 Melbourne Football Club season', 77]","['Collingwood Football Club', 66]","['Ken Hall (Australian footballer)', 64]","['Liam Pilkington', 57]"
Jenmoa,439.0,Religion,Literature,Pop culture,Death,"['Camauro', 13]","['Infant communion', 10]","['Pope Benedict XVI', 8]","['Cry, the Beloved Country', 7]","['First Communion', 6]","['Pope John Paul II', 6]","['The Scarlet Pimpernel (musical)', 5]","['Death and funeral of Pope John Paul II', 4]","['Lorraine Hansberry', 4]","['Staten Island', 4]"
JennKR,744.0,Music,Arts and Humanities,Pop culture,Celebrity news,"['Beyoncé (album)', 618]","['Beyoncé', 561]","['4 (Beyoncé album)', 381]","['Beyoncé albums discography', 305]","['Misha B', 222]","['Lauryn Hill', 217]","['Nicki Minaj', 207]","['J. K. Rowling', 141]","['So (album)', 122]","['The Mrs. Carter Show World Tour', 69]"
Jennie--x,103.0,,,,,,,,,,,,,,
Jenuk1985,102.0,,,,,,,,,,,,,,
Jerem43,1002.0,Business,Food and drink,Entertainment,Lists,"['Burger King', 1363]","['Burger King products', 1147]","['Whopper', 502]","['Burger King advertising', 473]","['Burger King franchises', 402]","['Burger King legal issues', 354]","['History of Burger King', 343]","['Framingham, Massachusetts', 327]","['Big King', 294]","['List of countries with Burger King franchises', 282]"
Jeremjay24,715.0,Mass media,Entertainment,People,Internet,"['Roblox', 194]","['Blockland (video game)', 29]","['Fred Figglehorn', 10]","['Dennis Woodside', 7]","['Francis Lewis High School', 5]","['Kool-Aid', 5]","[""It's Hackin' Christmas With Fred"", 5]","['List of programming languages', 4]","['MapleStory DS', 4]","['Smosh', 3]"
JeremyA,879.0,Geography,History,Sports,List,"['Sheffield', 506]","['History of Sheffield', 278]","['Chicago', 227]","['Jean Baptiste Point du Sable', 202]","['List of people from Sheffield', 135]","['Sheffield United F.C.', 120]","['Leeds', 99]","['Kinzie Street railroad bridge', 96]","['Moose', 94]","['QR code', 92]"
JeremyMcCracken,738.0,Technology,Business,Lists,People,"['DOS', 128]","['List of DOS commands', 33]","['Cygnus Business Media', 28]","['The Burke Group', 25]","['Corporation for National and Community Service', 23]","['Crybaby Bridge', 21]","['MS-DOS', 21]","['Akron, Ohio', 20]","['The Flamingos', 19]","['Wade Rathke', 15]"
Jergen,811.0,Society,Scouting,Religion,Military,"['Scouting', 242]","['List of World Organization of the Scout Movement members', 193]","['Bharat Scouts and Guides', 125]","['List of World Association of Girl Guides and Girl Scouts members', 80]","['World Federation of Independent Scouts', 80]","['Scouting and Guiding in Germany', 64]","['Scouts Canada', 60]","['Girlguiding', 55]","['Catholic Scouts of Europe', 54]","['Hitler Youth', 54]"
Jeromeplacec,173.0,Nature,History,Other,,"['Colorado River', 2]","['Polish–Czechoslovak War', 1]","['Rudolf Wolters', 1]",,,,,,,
Jerrch,693.0,Politics,Society,Culture,Life,"['Hsu Tain-tsair', 130]","['Frank Hsieh', 99]","['Chen Shui-bian', 66]","['Taipei 101', 63]","['Chiang Kai-shek Memorial Hall', 60]","['Ma Ying-jeou', 59]","['Taipei', 53]","['Chien-Ming Wang', 36]","['2008 Taiwanese presidential election', 35]","['Sport in Taiwan', 33]"
Jerry,992.0,Education,People,Food and drink,Geography,"['Crispus Attucks Elementary School', 52]","['Patricia Racette', 50]","['Pâté chinois', 41]","['McCoy (pottery)', 33]","['Countries in the International Organization for Standardization', 29]","['Stephen Stanko', 22]","['Binta and the Great Idea', 22]","['Cumberland High School (Carlingford)', 19]","['Thames High School', 18]","['Berwick Area Senior High School', 18]"
Jersyko,777.0,Politics,Law,Mass media,Society,"['Barack Obama', 264]","['First Amendment to the United States Constitution', 217]","['Democratic Party (United States)', 203]","['Harold Ford Jr.', 186]","['George Allen (American politician)', 182]","['Immigration to the United States', 172]","['Copyright', 167]","['2006 United States Senate election in Tennessee', 144]","['Memphis, Tennessee', 140]","['The Office (American TV series)', 135]"
Jerzy,900.0,Religion,Geography,Science,Philosophy,"[""Noah's Ark"", 25]","['Hawaii', 24]","['Al-Khwarizmi', 23]","['Fisher (surname)', 21]","['Apocalypse Now', 20]","['Hart (person)', 19]","['Pete Seeger', 18]","['James Watson', 18]","['George Lakey', 16]","['Jesus (disambiguation)', 16]"
Jespinos,554.0,Geography,Nature,History,Universe,"['Emperor penguin', 40]","['Santiago', 40]","['Chile', 39]","['Erosion', 36]","['Easter Island', 32]","['Atacama Desert', 28]","['Andes', 25]","['1960 Valdivia earthquake', 19]","['Flamingo', 18]","['Torres del Paine National Park', 18]"
JesseW,955.0,People,Internet,Law,Mathematics,"['Warren Beatty', 21]","['June 22', 11]","['MKUltra', 11]","['List of people with surname Taylor', 10]","['IP address', 9]","['Ixchel', 8]","['Freeware', 8]","['1 hectometre', 7]","['Mitt Romney', 7]","['IMAO', 7]"
Jessica,105.0,Society,Human behavior,,,"['Relationship', 1]","['Friendship', 1]",,,,,,,,
Jesster79,655.0,Religion,Government,Entertainment,Education,"['Roman Catholic Archdiocese of Dubuque', 92]","['Dubuque, Iowa', 64]","[""St. Raphael's Cathedral (Dubuque, Iowa)"", 39]","['In the Heat of the Night (TV series)', 31]","['Samuel Mazzuchelli', 28]","['Cremation', 27]","['University of Dubuque', 27]","['List of In the Heat of the Night episodes', 26]","['Manos: The Hands of Fate', 25]","['Mystery Science Theater 3000', 24]"
Jet123,104.0,,,,,,,,,,,,,,
JetBlast,818.0,Business,Technology,Transportation,Economy,"['Singapore Airlines', 143]","['Virgin Australia', 135]","['British Airways', 122]","['EasyJet', 117]","['Virgin Atlantic', 108]","['Garuda Indonesia', 85]","['Swiss International Air Lines', 81]","['Scoot', 72]","['Singapore Airlines fleet', 70]","['American Airlines', 68]"
JetLover,919.0,Entertainment,Sports,Military,Technology,"['Airsoft', 39]","['Angel Locsin', 23]","['Dogfights (TV series)', 18]","['Man, Moment, Machine', 13]","['Ace Combat 6: Fires of Liberation', 9]","['Malaysian choirs', 9]","['Marian Rivera', 8]","['Combat Flight Simulator 3', 8]","['Ace Combat', 8]","['Killzone 2', 7]"
Jewbacca,511.0,Politics,History,Philosophy,Other,"['George W. Bush', 55]","['Ken Jennings', 39]","['Yasser Arafat', 38]","['Condoleezza Rice', 25]","['Phi Kappa Psi', 24]","['AIPAC', 18]","['Nationalist terrorism', 18]","['Jim McGreevey', 16]","['Abdel Aziz al-Muqrin', 15]","['Israel', 13]"
Jezhotwells,985.0,Culture,History,Society,Arts,"['Harold Pinter', 341]","['Knowle West', 272]","['Bristol', 254]","['List of theatres in Bristol', 216]","['History of Bristol', 129]","['Mary Carpenter', 118]","['Bristol City F.C.', 101]","['SimSig', 96]","['Sport in Bristol', 90]","['Massive Attack', 83]"
Jfdwolff,956.0,Health,Medicine,Concepts,Science,"['Obesity', 536]","['Diabetes', 527]","['Coeliac disease', 448]","['Cancer', 423]","['Ten Commandments', 367]","['Meningitis', 352]","['Myalgic encephalomyelitis/chronic fatigue syndrome', 286]","['Myocardial infarction', 285]","['Stroke', 276]","['Pneumothorax', 269]"
Jfingers88,607.0,Education,Sports,Biology,Government,"['La Salle College High School', 41]","['United States Academic Decathlon', 10]","['Transitional epithelium', 9]","['Cuboidal epithelial cell', 7]","['United States at the 2006 Winter Olympics', 5]","['Archery at the 2004 Summer Olympics', 5]","['Germany at the 2006 Winter Olympics', 5]","['Epithelium', 4]","['Norway at the 2006 Winter Olympics', 3]","['Siva Samoa', 3]"
Jflash,223.0,Education,Internet,Health,Lists,"['Cedar Ridge Middle School', 7]","['Rian Wallace', 4]","['Alyson Stoner', 4]","['Internet', 3]","['Minced oath', 2]","['Kōō', 2]","['Top-level domains', 2]","['Depression (mood)', 1]","['List of top-level domains', 1]","['CRMS', 1]"
Jftsang,712.0,Education,Science,Technology,Society,"['Colchester Royal Grammar School', 16]","['Hong Kong mahjong scoring rules', 7]","['Spellbinder (paper-and-pencil game)', 6]","['Audio Analytic', 5]","['Alan Grant (writer)', 4]","['Hong Kong independence', 4]","['Thích Nhất Hạnh', 4]","['Logo (programming language)', 4]","['Jiangjun', 4]","['WKB approximation', 4]"
Jgmikulay,628.0,Art,Society,History,List,"['List of public art in Milwaukee', 209]","['Indiana University–Purdue University Indianapolis Public Art Collection', 28]","['Lynden Sculpture Garden', 28]","['Housing Authority of the City of Milwaukee', 16]","['Thomas A. Hendricks Monument', 15]","['Bronze Fonz', 15]","['Numbers 1-0', 13]","['List of public art in Madison, Wisconsin', 12]","['The Victorious Charge', 12]","['Juneau Monument', 12]"
Jgp,758.0,Technology,Entertainment,Science,,"['List of AMD Athlon 64 processors', 81]","['GoGo Sentai Boukenger', 70]","['Kyōryū Sentai Zyuranger', 70]","['Xeon', 66]","['Choushinsei Flashman', 58]","['Kamen Rider Kabuto', 57]","['Chōjin Sentai Jetman', 54]","['List of Intel Core 2 processors', 54]","['Gosei Sentai Dairanger', 54]","['Chikyu Sentai Fiveman', 49]"
Jguk,802.0,Sports,History,Education,,"['History of Test cricket from 1877 to 1883', 121]","['United Kingdom corporation tax', 109]","['History of the West Indies cricket team', 102]","['Common Era', 74]","['Brian Close', 71]","['Sydney Riot of 1879', 66]","['2005 English cricket season', 65]","['List of England Test cricketers', 61]","['The Ashes', 57]","['August 2005 in sports', 55]"
Jguy,653.0,Entertainment,Food and drink,Military,Nature,"['CSI: Crime Scene Investigation', 28]","['Minecraft', 13]","['Runes of Magic', 9]","['CSI: NY', 5]","['Chicken tenders', 4]","['Theme music', 4]","['Micky Colton', 4]","['Military history of Australia', 3]","['Shootout at Wadala', 3]","['Uranus', 3]"
Jh12,755.0,Sports,Education,History,Society,"['United States at the 2008 Summer Olympics', 680]","['Benjamin Franklin High School (New Orleans)', 336]","['United States at the 2008 Summer Paralympics', 168]","['Christa McAuliffe', 151]","['United States at the 2010 Winter Paralympics', 113]","['Jakarta Intercultural School', 42]","['Effects of Hurricane Katrina in New Orleans', 39]","['Erin Popovich', 38]","['List of National Historic Landmarks in Louisiana', 34]","['Johnson Senior High School (Saint Paul, Minnesota)', 33]"
Jhbuk,688.0,Military,Health,Transportation,People,"['Nimitz-class aircraft carrier', 169]","['Queen Mary 2', 71]","['Paul Bach-y-Rita', 38]","['Royal Navy Medical Service', 23]","['Karl Pilkington', 17]","['Spontaneous coronary artery dissection', 17]","['MV Hebridean Princess', 16]","['Neuroplasticity', 15]","['Guillermo Ochoa', 12]","['Bolton', 11]"
Jheald,838.0,Entertainment,Science,Philosophy,Technology,"['The Promise (2011 TV serial)', 348]","['AlphaFold', 224]","['Emanuel Marx', 204]","['Y-chromosomal Aaron', 153]","['Shoot to Kill (1990 film)', 138]","['Mairi Hedderwick', 119]","['David ben Yom Tov', 101]","['Videotex', 99]","['Kullback–Leibler divergence', 98]","['Sacred prostitution', 97]"
Jhfireboy,103.0,,,,,,,,,,,,,,
JiFish,618.0,Entertainment,Law,Technology,Culture,"['Final Fantasy', 65]","['Jack Thompson (activist)', 55]","['Keystroke logging', 43]","['Final Fantasy VII: Advent Children', 37]","['Cloud Strife', 33]","['Final Fantasy VII', 32]","['Shadow Hearts', 27]","['The Order of the Stick', 27]","['Lexx', 21]","['Final Fantasy VIII', 21]"
Jiang,899.0,Geography,History,Politics,Culture,"['Taiwan', 303]","['Taiwan (island)', 205]","['Main Page', 161]","['Chiang Kai-shek', 161]","['China', 158]","['University of California, Berkeley', 149]","['Chinese civilization', 133]","['Chen Shui-bian', 125]","['Kuomintang', 115]","['2004 Taiwanese presidential election', 92]"
Jibran1,467.0,Religion,History,Culture,Geography,"['Burj Khalifa', 83]","['Dubai Mall', 70]","['Islam and other religions', 47]","['History of the Quran', 44]","['Dubai', 43]","['Islam', 28]","['Criticism of Islam', 25]","['Shia Islam', 24]","['Dubai Marina', 24]","['Boone Pickens Stadium', 23]"
Jigglz2003,245.0,Education,Society,People,Other,"['Air Base K–8 Center', 5]","['Avocado Elementary School', 2]","['Auburndale Elementary School', 1]","['Miami-Dade County Public Schools', 1]",,,,,,
Jigs41793,510.0,Entertainment,Technology,Internet,Mass media,"['Codename: Kids Next Door', 33]","['Windows Vista', 27]","['Windows XP', 26]","['Features new to Windows XP', 16]","['Windows Media Player', 14]","['Wowowee', 8]","['List of families in Codename: Kids Next Door', 7]","['Globe Telecom', 5]","['Microsoft Defender Antivirus', 5]","['Codename: Kids Next Door (season 3)', 4]"
Jim,403.0,Geography,Government,Economy,Other,"[646, 3]","['Tikhon Kiselyov', 3]","['Gibraltar', 2]","['Bydgoszcz', 2]","['Aleksei Volkov (politician)', 2]","[933, 2]","['Bulgarian lev', 2]","['Nikolai Gikalo', 2]","['ERepublik', 2]","['Nevėžis', 2]"
Jim62sch,720.0,Philosophy,Science,Health,Religion,"['Nostradamus', 312]","['Intelligent design', 177]","['God', 109]","['Homeopathy', 108]","['Adam and Eve', 106]","['Gainesville, Georgia', 92]","['Argument from evolution', 90]","['Great Railroad Strike of 1877', 78]","['Human', 78]","[""Noah's Ark"", 75]"
JimMillerJr,748.0,Politics,History,Law,Society,"['Mayor of Jersey City, New Jersey', 74]","['2006 New Jersey state government shutdown', 63]","['Frank Hague', 43]","['Jersey City, New Jersey', 32]","['Hudson County Courthouse', 31]","['Lincoln Park (Jersey City)', 29]","['Young Republicans', 21]","['Operation Bid Rig', 16]","['Terry Dehere', 16]","['Dave White (writer, born 1979)', 16]"
Jimbo Wales,911.0,Technology,Business,Science,Philanthropy,"['BonziBuddy', 20]","['Naveen Jain', 20]","['Jimmy Wales', 19]","['Marc Lemire', 16]","['Mike Brown (transport executive)', 14]","['Bianca Jagger', 14]","['Ethnic groups of Manipur', 12]","['List of honorary British knights and dames', 12]","['Glenn Mulcaire', 12]","['Gregory Paul Martin', 10]"
Jimfbleak,,Nature,Concepts,Lists,Other,"['List of birds of Thailand', 556]","['Northern bald ibis', 531]","['Barn swallow', 467]","['Red-billed chough', 401]","['Nuthatch', 378]","['Common tern', 372]","['St Nicholas, Blakeney', 370]","['Common blackbird', 365]","['Ruff (bird)', 351]","['Francis Willughby', 331]"
Jimintheatl,468.0,Politics,Media,People,Culture,"[""Public image of Bill O'Reilly (political commentator)"", 226]","['Glenn Beck', 143]","[""Bill O'Reilly (political commentator)"", 120]","[""Political views of Bill O'Reilly"", 94]","['Sean Hannity', 53]","['Tea Party protests', 39]","['DeAngelo Hall', 37]","['Arguing with Idiots', 23]","['Killing Patton', 23]","['Bruce Bartlett', 22]"
Jimmy,547.0,,,,,"['Non-English versions of The Simpsons', 28]","['Camp Rock', 26]","['The Latest Buzz', 25]","['Quebec French', 25]","['French Canadians', 24]","['Vrak', 22]","['Télétoon', 16]","['Bell Centre', 16]","['Saint-Jean-Baptiste Day', 15]","['Miss Météo', 14]"
JimmyBlackwing,754.0,Entertainment,Technology,Games,Lists,"['Runaway: A Road Adventure', 818]","['Terra Nova: Strike Force Centauri', 638]","['Flight Unlimited', 592]","['Halo: Combat Evolved', 537]","['Ultima Underworld: The Stygian Abyss', 484]","['Safecracker (video game)', 460]","['Traitors Gate (video game)', 420]","['System Shock', 414]","['Megatokyo', 395]","['Hollywood Monsters (video game)', 378]"
JimmySmitts,361.0,People,Military,Sports,Culture,"['Tyler Pierce (actor)', 16]","['Fat Pig', 5]","['Paintball', 3]","['American Idol', 2]","['Edward Weidenfeld', 2]","['United States Armed Forces', 2]","['Adam-12', 1]","[""2009 L'Aquila earthquake"", 1]","['Lockheed Martin F-22 Raptor', 1]","['Groundskeeper', 1]"
Jimmyvanthach,489.0,History,Politics,Society,Other,"['Bảo Đại', 35]","['Soulivong Savang', 32]","['Ly Tong', 30]","['Sauryavong Savang', 22]","['Nguyễn Cao Kỳ', 22]","['Nguyễn Văn Thiệu', 21]","['Nguyễn Ngọc Loan', 20]","['Sisavang Vatthana', 19]","['Dương Văn Minh', 16]","['Vietnamese Constitutional Monarchist League', 15]"
Jimregan,570.0,Music,Lists,Culture,Other,"['Lists of albums', 22]","['Temple of the Dog', 13]","['Master of Puppets', 12]","['Superunknown', 12]","['South of Heaven', 11]","['Soundgarden', 11]","['Ride the Lightning', 11]","['Heartwork', 11]","['Troublegum', 11]","['Kerry King', 11]"
Jimwitz,443.0,Education,Sports,Weather,Geography,"[""St. Stephen's Episcopal School Houston"", 41]","[""St.Stephen's Episcopal School Houston"", 8]","['List of storms in the 2005 Atlantic hurricane season', 7]","['Houston Astros', 3]","['Astros (disambiguation)', 2]","['Astros', 2]","['SSESH', 2]","['Imogene', 2]","['Hanukkah Harry', 1]","['Mlb rosters', 1]"
Jishacj,586.0,Geography,People,Entertainment,Other,"['Kollam', 134]","['Coimbatore', 84]","['Kannur district', 83]","['Chiranjeevi', 36]","['Kerala', 34]","['Palakkad district', 32]","['Kollam district', 30]","['Kottayam district', 29]","['Thiruvananthapuram', 22]","['Kozhikode', 21]"
Jiuguang,0.0,,,,,,,,,,,,,,
Jiujitsuguy,475.0,War,History,Military,Politics,"['Yom Kippur War', 357]","['Gaza War (2008–2009)', 215]","['Six-Day War', 107]","['2006 Lebanon War', 106]","['War of Attrition', 56]","['1982 Lebanon War', 54]","['Preemptive war', 52]","['Battle of Karameh', 50]","['Vietnam War', 44]","['1948 Arab–Israeli War', 34]"
Jj137,1162.0,Sports,Education,Lists,Culture,"[""St Peter's College, Auckland"", 167]","['Rickey Henderson', 92]","['List of Cincinnati Reds managers', 90]","['List of New York Rangers head coaches', 84]","['List of years in poetry', 83]","['Spirit (band)', 77]","['2006 Cincinnati Reds season', 76]","['Sayaji Shinde', 70]","['1911 Cleveland Naps season', 48]","['Cincinnati Reds', 47]"
Jj98,,Animation,Television,Games,Media,"['Courage the Cowardly Dog', 1551]","['Animation', 661]","['Cartoon Network', 475]","['Adventure game', 373]","['List of Courage the Cowardly Dog episodes', 343]","['List of Courage the Cowardly Dog characters', 234]","['Descent (video game)', 231]","['Courage', 193]","['Nickelodeon', 174]","['Star Trek', 141]"
Jjjsixsix,608.0,Sports,Education,Lists,Events,"['2006 World Baseball Classic championship', 52]","['World Baseball Classic', 27]","['List of high schools in California', 22]","['Harker School', 20]","['Bellarmine College Preparatory', 19]","['Herricks High School', 16]","[1989, 13]","['Chronological summary of the 2006 Winter Olympics', 13]","['Saint Francis High School (Mountain View, California)', 12]","['Baseball', 11]"
Jkelly,926.0,Religion,History,Culture,Philosophy,"['Wicca', 159]","['Canada', 151]","['The Waterboys', 138]","['Greece', 111]","['Fascism', 98]","['Aradia, or the Gospel of the Witches', 94]","['Extinction', 93]","['This Is the Sea', 72]","['History of the Jews in Greece', 55]","['Christianity', 55]"
Jklin,720.0,Sports,History,Health,Philosophy,"['50 Greatest Players in NBA History', 62]","['Repatriation of Cossacks after World War II', 56]","['Cossacks', 36]","['Black mamba', 32]","['Autism spectrum', 20]","['List of oldest professional athletes by sport', 16]","['Cyclopia', 13]","['Joseph (disambiguation)', 13]","['Philosophy of suicide', 13]","['Sword', 11]"
Jmabel,1021.0,Geography,Architecture,History,Society,"['List of structures on Elliott Bay', 607]","['List of Seattle landmarks', 586]","['Architecture of Seattle', 388]","['Seattle', 342]","['Pike Place Market', 246]","['French Revolution', 235]","['National Register of Historic Places listings in King County, Washington', 229]","['List of neighborhoods in Seattle', 161]","['Spanish Civil War', 158]","['Blackface', 152]"
Jmajeremy,856.0,Entertainment,Transportation,Business,Government,"['12 (2003 film)', 19]","['2012 Quebec student protests', 18]","['BroadLight', 12]","['Marc Leder', 10]","['Via Rail', 10]","['Kevin Brown (poet)', 10]","['Jetpack Joyride', 8]","['Lakeside Academy (Lachine)', 8]","['Île-de-France tramway Line 1', 8]","['The Wynne Theater', 7]"
Jmanigold,483.0,History,Biography,Literature,Military,"[""George Washington's crossing of the Delaware River"", 3]","['Jean-Claude Van Damme', 3]","['Gawain', 3]","['Supersaturation', 2]","['General Educational Development', 2]","['LWRC Infantry Automatic Rifle', 2]","['Yonggary (1999 film)', 2]","['List of Saiyans in Dragon Ball', 2]","['NOFX', 2]","['Sesame Street', 2]"
