,username,total_score,categ1,categ2,categ3,categ4,idx_PV
4100,Jokestress,916.0,People,Health,Law,Other,4415.0
4101,Jon,106.0,,,,,
4102,Jon513,832.0,Religion,History,Culture,Society,963.0
4103,JonHarder,869.0,People,Technology,Government,Military,2035.0
4104,JonMoore,733.0,Geography,Entertainment,Lists,Internet,4898.0
4105,JonasEncyclopedia,100.0,,,,,5270.0
4106,Jonathan,103.0,,,,,1241.0
4107,Jonathan321,773.0,People,Religion,Culture,Entertainment,1976.0
4108,Jonathunder,902.0,Holidays,People,Culture,Society,41.0
4109,Jondel,870.0,Language,Culture,Sports,History,1385.0
4110,Jongarrettuk,2.0,,,,,7002.0
4111,Jonkerz,930.0,Economy,Environment,Health,Law,4556.0
4112,Joolz,723.0,Government,Economy,Geography,Mass media,2402.0
4113,Joopercoopers,722.0,Geography,History,Architecture,Culture,2038.0
4114,Jor,625.0,Literature,Technology,Religion,Language,3517.0
4115,Jorcoga,573.0,Sports,Lists,Entertainment,Society,277.0
4116,Jord,767.0,Government,Politics,Economy,Law,7173.0
4117,Jorgath,809.0,Sports,Crime,Society,Religion,1397.0
4118,Jorgenev,795.0,Science,Psychology,Media,Health,1505.0
4119,Joseph,638.0,Political science,Economics,International relations,Culture,
4120,Josette,679.0,Human behavior,Culture,Politics,Entertainment,2021.0
4122,Josh,105.0,Military,Technology,,,
4123,Joshbuddy,687.0,Religion,Philosophy,Sociology,Other,1901.0
4124,Joshii,673.0,Culture,Economy,Education,Geography,3239.0
4126,Joshua,770.0,Culture,Education,Information,Language,
4127,JoshuaKuo,632.0,Entertainment,People,Society,Technology,5944.0
4128,JoshuaZ,1063.0,Science,Religion,Philosophy,Knowledge,28.0
4129,JoshuacUK,673.0,Business,Entertainment,Information,Technology,
4130,Josie,132.0,Sports,Economy,History,Nature,
4131,Jossi,974.0,Religion,Criticism,Human behavior,Media,177.0
4132,Jouke,115.0,Lists,Music,Comparison,Technology,
4133,Journalist,923.0,Mass media,Entertainment,Arts,People,134.0
4134,Jouster,629.0,Technology,Science,Chemistry,Games,3915.0
4135,Joy,1035.0,Government,Politics,Society,History,5086.0
4137,Joyous!,1173.0,Other,,,,2878.0
4138,Jozal,102.0,,,,,1824.0
4139,Jpbrenna,708.0,History,Government,Military,Geography,5248.0
4140,Jpgordon,972.0,History,Society,Politics,Religion,1207.0
4141,Jpmonroe,413.0,Business,Politics,Law,People,2918.0
4142,Jprg1966,1124.0,Politics,Military,Religion,Science,3774.0
4143,Jrcla2,,Education,Sports,Lists,Other,
4144,Jrdioko,627.0,Entertainment,Technology,Culture,Geography,5349.0
4145,Jredmond,860.0,History,Health,Sports,Time,3201.0
4146,Jreferee,756.0,Engineering,Law,Science,Technology,278.0
4147,Jriddell,289.0,Technology,Society,People,Philosophy,7313.0
4148,Jrphayes,634.0,Entertainment,Sports,Technology,Mass media,7149.0
4149,Jsayre64,844.0,Geography,History,Culture,Nature,4083.0
4150,Jsc83,541.0,Education,Society,Science,Health,6311.0
4151,Jschnur,866.0,Music,Military,Business,Politics,1877.0
4152,Jscott,365.0,Internet,Technology,Culture,Other,2507.0
4153,Jsfouche,860.0,Nursing,Healthcare,Lists,Other,3335.0
4154,Jsharpminor,940.0,Politics,Law,Religion,History,6427.0
4155,Jsherman256,263.0,Biology,Technology,Medicine,Art,6999.0
4156,Jsjsjs1111,567.0,Health,Science,Society,Religion,2833.0
4157,Jsmith86,589.0,,,,,5991.0
4158,Jtdirl,935.0,Religion,Government,People,History,3661.0
4159,Jtkiefer,762.0,Politics,Mass media,Entertainment,Internet,754.0
4160,Jtmichcock,720.0,Geography,History,Culture,Food and drink,2951.0
4161,Jtmorgan,659.0,Nature,Lists,Technology,Military,3107.0
4162,Jtrainor,750.0,Law,Military,Technology,Society,1910.0
4163,Jtrost,726.0,Entertainment,Television,Lists,Culture,2466.0
4164,JuJube,1048.0,Anime,Gaming,Comics,Concepts,4030.0
4165,JuanMuslim,103.0,,,,,3451.0
4166,Juansidious,618.0,Gaming,Education,People,Technology,7074.0
4167,Jubileeclipman,650.0,Music,History,Language,Mass media,3151.0
4168,Judgesurreal777,766.0,Gaming,Science Fiction,Entertainment,Technology,4522.0
4169,Judicatus,717.0,Government,Culture,History,People,4535.0
4170,Juicifer,658.0,Politics,Lists,Religion,History,7259.0
4171,Jujutacular,1006.0,Entertainment,Geography,Lists,People,860.0
4172,Julia W,742.0,Human behavior,Society,Lists,People,5058.0
4173,Juliancolton,1277.0,Nature,Weather,Lists,Geography,10.0
4174,JulieSpaulding,105.0,,,,,2565.0
4175,Julius1990,415.0,Music,Culture,History,Architecture,5194.0
4176,Julle,778.0,Culture,Lists,Literature,Media,2158.0
4177,Jumbling,756.0,Entertainment,Culture,People,Education,
4178,JuneGloom07,1040.0,Television,Lists,Characters,Society,1273.0
4179,Junes,469.0,History,Language,Art,Culture,4608.0
4180,JungleFuryPizza,301.0,Entertainment,People,Fiction,Lists,6053.0
4181,Junglecat,808.0,People,History,Technology,Geography,289.0
4182,Juntung,620.0,Geography,Government,Entertainment,Technology,281.0
4183,Juppiter,565.0,History,Mass media,Economy,Culture,1226.0
4184,Jusdafax,1158.0,Science,Entertainment,People,Nature,99.0
4185,Jusjih,790.0,Law,Lists,Transportation,Internet,52.0
4186,Just,105.0,People,Other,,,
4187,Just Chilling,1092.0,Human behavior,Culture,Entertainment,People,
4188,Just Step Sideways,1210.0,Places,Entertainment,Food and drink,Life,
4189,JustGettingItRight,385.0,,,,,3890.0
4190,Justallofthem,553.0,Religion,Society,Philosophy,Other,4071.0
4191,Justanother,623.0,Religion,Philosophy,Society,Other,4020.0
4192,Justen,403.0,Business,Technology,Culture,Education,3430.0
4193,Justforasecond,537.0,Culture,Politics,Entertainment,People,2504.0
4194,Justin,645.0,Science,Nature,Society,Philosophy,2667.0
4195,JustinHall,617.0,Entertainment,Technology,People,Internet,3141.0
4196,Justinc,658.0,Food and drink,History,Science,Lists,3710.0
4197,Justinfr,767.0,Psychology,Society,Politics,Health,5369.0
4198,Justinpwilsonadvocate,495.0,,,,,6504.0
4199,Juthani1,103.0,,,,,4665.0
4200,Jwanders,639.0,Nature,Energy,Science,Geography,6084.0
4201,Jwillbur,832.0,Military,History,Society,Lists,6927.0
4202,Jwrosenzweig,804.0,History,Literature,Culture,Sports,877.0
4203,Jyril,745.0,Universe,Astronomy,Space exploration,Lists,6518.0
4204,JzG,,Technology,Science,Health,Internet,
4205,Jza84,836.0,People,Geography,Culture,Society,2109.0
4206,Jón,626.0,Geography,People,Culture,,5177.0
4208,K1Bond007,853.0,Entertainment,Technology,People,Lists,2974.0
4209,K37,312.0,Sports,Entities,People,Other,2273.0
4210,KAS,457.0,Concepts,Technology,Science,Other,5428.0
4211,KATANAGOD,611.0,Geography,Entertainment,Nature,Philosophy,5667.0
4212,KC109,695.0,Education,Society,People,Politics,2854.0
4213,KDerrida,185.0,Technology,Culture,Engineering,Military,3882.0
4214,KFP,945.0,Geography,Food and drink,Information,Nature,1998.0
4215,KHM03,659.0,Religion,History,Concepts,Other,770.0
4216,KI,668.0,History,Government,Society,War,1219.0
4217,KJS77,841.0,Entertainment,Geography,Sports,Science,7108.0
4218,KNM,594.0,People,Geography,Entertainment,Culture,3039.0
4219,KNewman,728.0,History,Government,Military,Mass media,2998.0
4220,KP,120.0,Law,Geography,Philosophy,Other,
4221,KRS,507.0,Society,Architecture,Religion,Mathematics,5709.0
4222,KS,421.0,Music,Technology,Other,List,5790.0
4223,KSmrq,622.0,Mathematics,Concepts,Other,Science,4084.0
4224,KTC,1166.0,Sports,Society,Culture,Lists,610.0
4225,Kablammo,973.0,Geography,History,Literature,Nature,725.0
4226,Kafziel,933.0,Entertainment,Food and drink,Military,Technology,605.0
4227,Kaganer,694.0,People,Art,Government,Culture,5660.0
4228,Kaguya-chan,100.0,,,,,5935.0
4229,Kahuroa,655.0,Culture,People,Language,History,3503.0
4230,Kaibabsquirrel,604.0,Society,Lists,Law,Nature,4353.0
4231,Kaihsu,872.0,Government,Politics,Humanities,International Relations,5280.0
4232,Kaisershatner,933.0,History,Philosophy,Law,Military,3559.0
4233,Kaiti,549.0,Entertainment,Music,Arts,People,3655.0
4234,Kaiwhakahaere,533.0,People,Entertainment,Culture,Sports,1641.0
4235,Kakama5,258.0,Technology,Internet,Media,Food and drink,7266.0
4236,Kakofonous,845.0,Entertainment,Music,Culture,Society,1622.0
4237,Kalan,533.0,Technology,Geography,History,Nature,3879.0
4238,Kalathalan,639.0,,,,,863.0
4239,Kaldari,992.0,Society,History,Culture,People,2017.0
4240,Kalogeropoulos,569.0,History,Geography,Archaeology,Philosophy,3698.0
4241,Kaly99,708.0,Geography,History,Economy,Agriculture,6961.0
4242,Kama,395.0,Culture,Religion,Sociology,,7086.0
4243,Kamikaze,488.0,Entertainment,Science Fiction,Biography,Human Behavior,4014.0
4244,KamrynMatika,453.0,Music,Arts,Entertainment,Albums,2287.0
4245,KamrynMatika2,421.0,Music,Literature,Albums,History,3004.0
4246,Kanatonian,866.0,Society,Politics,History,Culture,4063.0
4247,Kane5187,863.0,Education,Geography,Entertainment,History,4800.0
4248,Kanesue,612.0,,,,,5666.0
4249,Kangaroopower,696.0,Entertainment,People,Lists,Literature,2408.0
4250,Kangie,671.0,Music,Mass media,Lists,History,4643.0
4251,Kanonkas,1095.0,Entertainment,Education,People,Other,711.0
4252,Kansan,754.0,Health,Government,Geography,Society,1055.0
4253,Kaori,488.0,Religion,Economy,Sports,History,6845.0
4254,Kapohogrrl,619.0,Geography,History,Culture,Education,
4255,Kappa,706.0,List,Culture,Technology,Food and drink,7236.0
4256,Karada,907.0,Concepts,Human behavior,Information,Science,7360.0
4257,Karanacs,906.0,History,Academic disciplines,Education,Entertainment,843.0
4258,KarateLady,477.0,People,Philosophy,Health,Other,3853.0
4259,Karbinski,569.0,Philosophy,Literature,Society,Science,4730.0
4260,Kareeser,723.0,Entertainment,History,Technology,People,7025.0
4261,Karenjc,817.0,Geography,Culture,Biography,Literature,2068.0
4262,Karim,398.0,Time,Entities,Other,Health,
4263,Karimarie,553.0,Religion,Law,Politics,Society,2463.0
4264,Karl,412.0,Government,Philosophy,Sociology,Conflict,
4265,Karl Dickman,991.0,Military,Engineering,Technology,,
4266,Karmafist,825.0,Sports,Economy,Geography,Lists,382.0
4267,Karmosin,618.0,Language,Culture,History,Linguistics,4863.0
4268,Karrmann,615.0,Transportation,Entertainment,Technology,Business,3317.0
4269,Karthikndr,991.0,Entertainment,Biography,Culture,Media,7305.0
4270,Karwynn,476.0,Mass media,People,Politics,Fiction,4454.0
4271,Kashk,612.0,Religion,Culture,Politics,History,2019.0
4272,Kashwialariski,209.0,Government,,,,7434.0
4273,Kasreyn,638.0,Entertainment,People,Sexuality,Society,4623.0
4274,Katalaveno,721.0,Geography,Recreation,Sports,Technology,454.0
4275,Katarighe,100.0,,,,,1612.0
4276,Kate,672.0,Computer Science,Internet,Operating Systems,Programming Languages,2285.0
4277,Katefan0,975.0,People,Law,Media,Education,1566.0
4278,Katerenka,707.0,Performing Arts,Religion,Health,Literature,979.0
4279,Kateshortforbob,993.0,People,Places,Entertainment,Time,2554.0
4280,KathrynLybarger,694.0,Business,History,Media,Philosophy,6435.0
4281,Katr67,116.0,Geography,Heritage,,,3086.0
4282,Kauffner,727.0,Religion,History,Culture,Society,3796.0
4283,Kayau,884.0,Business,Lists,Law,Technology,1748.0
4284,Kazak,543.0,History,Military,Politics,Literature,5384.0
4285,KazakhPol,660.0,Politics,Conflict,International Relations,Terrorism,1299.0
4286,Kbdank71,914.0,Biography,Education,Geography,Government,233.0
4287,Kbh3rd,890.0,History,Geography,Economy,Culture,2644.0
4288,Kbir1,762.0,Television,Film,People,,
4289,Kbrose,713.0,Internet,Information,Technology,Standards,3487.0
4290,Kbthompson,856.0,Geography,Culture,Entertainment,Architecture,2207.0
4291,Kchase02,146.0,,,,,955.0
4292,Kcordina,835.0,Law,Technology,History,Arts,3826.0
4293,Kcowolf,537.0,Television,Disaster,Religion,Entertainment,1644.0
4294,KeYYeK,245.0,Entertainment,Technology,Education,Science,6642.0
4295,Keakealani,623.0,Culture,Geography,Law,Society,5505.0
4296,Keb25,608.0,People,Education,Nation branding,Other,3531.0
4297,Kedi,212.0,Education,Entities,Geography,People,
4298,Keefer4,543.0,Geography,Government,Transportation,Communities,6769.0
4299,Keegan,1084.0,Music,People,Entertainment,Location,145.0
4300,Keepcalmandcarryon,565.0,,,,,5758.0
4301,Keeper76,865.0,Sports,Disasters,Education,History,49.0
4302,Keepsleeping,610.0,Music,Entertainment,Culture,Art,4231.0
4303,Keesiewonder,715.0,Religion,Animals,Society,Crime,6782.0
4304,Kefalonia,465.0,History,Religion,War,Culture,690.0
4305,Keilana,1205.0,Health,Science,Knowledge,Nature,330.0
4307,Keitei,654.0,Entertainment,Food and drink,Mass media,People,1368.0
4308,KeithD,716.0,Sports,Technology,Other,People,3777.0
4309,Kel-nage,545.0,Religion,Philosophy,Politics,Society,6218.0
4310,Kelapstick,1207.0,Economy,Law,Lists,Technology,2569.0
4311,KelleyCook,813.0,Technology,Education,Business,Internet,6617.0
4312,Kelly,804.0,Politics,Human behavior,Culture,Government,2945.0
4313,Ken,122.0,,,,,
4314,KenDenier,504.0,Time,Other,,,4650.0
4315,Kenatipo,531.0,Government,History,Society,Culture,3903.0
4316,Kendrick7,852.0,Military,Politics,Religion,History,4298.0
4317,Kennedygr,101.0,,,,,3703.0
4318,Kennytran4,119.0,Entertainment,Science Fiction,Film,Video Games,4696.0
4319,Kenrick95,552.0,Entertainment,Geography,History,Disaster,7014.0
4320,Kensho,122.0,,,,,5761.0
4321,KensingtonBlonde,393.0,Entertainment,Television,Video Games,List,3059.0
4322,Kensplanet,636.0,Government,History,Religion,People,3370.0
4323,KeptSouth,702.0,Politics,Law,Controversy,Military,2732.0
4324,KerathFreeman,626.0,Science,Education,Film,History,6216.0
4325,Keraunoscopia,749.0,Music,Culture,Album,Artist,5340.0
4326,Kerotan,671.0,Geography,Education,Entertainment,Technology,2223.0
4327,Kertrats,480.0,Music,Religion,Video Games,Sports,7200.0
4328,Kesac,839.0,Music,Politics,Literature,Technology,7462.0
4329,Kevin,1089.0,Geography,People,Lists,Entertainment,1829.0
4330,Kevin Gorman,1030.0,Concepts,Society,Health,Economy,3173.0
4331,Kevin1243,102.0,,,,,2173.0
4332,Kevin12xd,864.0,Law,Internet,Government,Nature,4618.0
4333,Kevinalewis,812.0,Religion,Humanities,Literature,Education,6101.0
4334,Kewp,651.0,History,Religion,Culture,Society,3675.0
4335,Kewpid,580.0,Politics,Economy,Media,Society,7238.0
4336,Keystoneridin,717.0,Sports,Education,People,Geography,4777.0
4337,Kf4bdy,727.0,Religion,History,Lists,Military,7053.0
4338,Kfc1864,528.0,History,War,Government,Geography,3302.0
4339,Kgorman-ucb,103.0,,,,,6008.0
4340,Khalif,373.0,Entertainment,People,Culture,Lists,5583.0
4341,Khanaris,443.0,Technology,Science,Games,Nature,5533.0
4342,Khaosworks,808.0,Science,Entertainment,History,Technology,3271.0
4343,Khashayar,124.0,Engineering,Information,,,
4344,Khatru2,633.0,Government,Economy,Society,Mass media,7116.0
4345,Khazar2,,Politics,History,Culture,Society,
4346,Kheider,826.0,Universe,Science,Knowledge,,6615.0
4347,Khendon,547.0,Geography,Military,Society,History,7240.0
4348,Khodavand,454.0,Politics,Law,Human behavior,Society,5955.0
4349,Khoikhoi,994.0,,,,,60.0
4350,Khorshid,697.0,People,Culture,History,Society,6170.0
4351,Khuikri,,Science,Technology,Entertainment,Nature,
4352,Khukri,814.0,,,,,446.0
4353,Khvalamde,887.0,Entertainment,Economy,Education,History,6167.0
4354,Kicking222,729.0,Mass media,Music,List,Sports,265.0
4355,Kickstart70,727.0,Lists,Culture,Technology,Geography,5733.0
4356,Kiefer.Wolfowitz,831.0,Mathematics,Science,Philosophy,Politics,215.0
4357,Kieff,102.0,,,,,7190.0
4358,Kieran4,488.0,History,Military,People,,2333.0
4359,Kierano,657.0,Society,History,Health,Education,5922.0
4360,Kierzek,828.0,History,Government,Military,,779.0
4361,Kiewii,763.0,Environment,Science,Technology,Geography,
4362,Kijog,450.0,Geography,Entities,Lists,,6771.0
4363,Kikkokalabud,573.0,Entertainment,People,List,,3420.0
4364,Kilbad,100.0,,,,,1503.0
4365,KillerChihuahua,1026.0,Religion,Philosophy,Culture,Time,211.0
4366,Killerofkiller,173.0,Entertainment,Sports,Technology,Culture,4742.0
4367,Killervogel5,1010.0,Sports,History,People,Society,2095.0
4368,Killing,100.0,,,,,
4369,Killiondude,1086.0,Geography,People,Religion,Other,1278.0
4370,Kilo-Lima,927.0,Entertainment,Celebrities,Products,Nature,498.0
4371,Kilopi,615.0,Internet,Economy,Health,Education,1686.0
4372,KimDabelsteinPetersen,715.0,,,,,4813.0
4373,Kimchi.sg,1027.0,Law,Culture,Transportation,Technology,176.0
4374,Kimon,934.0,Philosophy,History,Politics,Arts,4787.0
4375,Kin,100.0,,,,,
4376,Kinaro,617.0,Politics,Society,Media,Science,4131.0
4377,Kinderboy,328.0,Games,History,Political science,Biology,6052.0
4378,Kindzmarauli,778.0,Business,Celebrities,Sports,Health,2177.0
4379,Kingboyk,1016.0,Entertainment,History,Culture,Music,186.0
4380,Kingjeff,857.0,Sports,Society,Lists,Geography,6511.0
4381,Kingoomieiii,760.0,Entertainment,Science,Health,Religion,3468.0
4382,Kingpin13,1108.0,People,Law,Environment,Animals,833.0
4383,Kingtongle,,Government,Politics,History,Time,
4384,Kingturtle,1159.0,,,,,408.0
4385,Kinneyboy90,553.0,History,Military,Politics,Religion,1860.0
4386,Kintetsubuffalo,,Society,Lists,Organizations,Culture,
4387,Kinu,1300.0,Geography,Lists,Entertainment,Transportation,3035.0
4388,Kirper,189.0,Science,Health,Information,Chemistry,5686.0
4389,Kitia,637.0,Media,Culture,People,Places,2462.0
4390,KittenKlub,765.0,Health,Geography,Other,,6285.0
4391,Kittybrewster,851.0,Government,History,People,Lists,1722.0
4392,Kizzle,636.0,Politics,Law,Entertainment,Society,3860.0
4393,Kjetil,505.0,Nature,Technology,Sports,Geography,
4394,Kjkolb,972.0,Energy,Science,Environment,Economy,3501.0
4395,Kjp993,621.0,Education,Culture,Media,Society,5597.0
4396,Kkrouni,530.0,Food and drink,Health,Literature,People,3816.0
4397,Kl4m,668.0,Technology,Business,Media,Human behavior,6945.0
4398,Klanda,454.0,Animals,Geography,Law,History,5807.0
4399,KleenupKrew,590.0,Politics,Environment,Other,Entertainment,1788.0
4400,Kleopatra,536.0,Nature,Lists,People,Science,4105.0
4401,Klonimus,684.0,Religion,Politics,Law,History,2114.0
4402,Kmccoy,696.0,Technology,Business,Geography,Engineering,1102.0
4403,Kmhkmh,849.0,,,,,4330.0
4404,Kmorozov,687.0,History,Government,Business,Society,5372.0
4405,Kmweber,755.0,Geography,Education,Society,Lists,185.0
4406,Knepflerle,584.0,Language,Culture,History,Other,3811.0
4407,KnightLago,1035.0,Education,People,Entertainment,Sports,1534.0
4408,KnowIG,647.0,Sports,Lists,People,Other,6807.0
4409,KnowledgeHegemony,,Politics,Economy,Geography,History,
4410,KnowledgeHegemonyPart2,566.0,,,,,3543.0
4411,KnowledgeOfSelf,911.0,Entertainment,History,Sports,Culture,323.0
4412,Knowledgekid87,1125.0,Politics,Law,Mass media,Lists,4759.0
4413,Knowpedia,698.0,Geography,Reality,Sports,Other,2922.0
4414,Knowzilla,109.0,,,,,2638.0
4415,Kntrabssi,625.0,Music,Nature,Technology,Health,1809.0
4416,Knucmo2,775.0,Philosophy,Knowledge,Religion,Other,896.0
4417,Kober,920.0,Government,History,Society,Military,3652.0
4418,Kobnach,312.0,Culture,Information,Engineering,Entertainment,3983.0
4419,Kodster,651.0,Entertainment,Music,History,Lists,3213.0
4420,Kohoutek1138,730.0,Music,Entertainment,History,Culture,5341.0
4421,KojiDude,839.0,Entertainment,Fiction,Technology,Lists,159.0
4422,Kokiri,622.0,Culture,Geography,Government,History,6763.0
4423,Kokota,219.0,Entertainment,Economy,Law,Philosophy,3985.0
4424,Kolokol,501.0,Information,Internet,People,Technology,6029.0
4425,Komdori,483.0,Culture,Geography,History,Society,6846.0
4426,Kommondant,162.0,Education,Government,Military,Religion,4890.0
4427,Konstable,831.0,History,Human behavior,Politics,Science,1041.0
4428,KonstableSock,228.0,Technology,Time,Entertainment,Business,3043.0
4429,Kookykman,706.0,Entertainment,Food and drink,Sports,People,1815.0
4430,Korath,731.0,Internet,Law,Mass media,Nature,2632.0
4431,Korg,805.0,,,,,4723.0
4432,KorinoChikara,607.0,Arts and entertainment,Music,Literature,Education,
4433,Kornfan71,640.0,Entertainment,History,Culture,Science,4251.0
4434,Korruski,674.0,People,Food and drink,Law,Military,1568.0
4435,Kosebamse,709.0,Medicine,Geography,Nature,Technology,3695.0
4436,KoshVorlon,822.0,Business,Religion,Society,History,4007.0
4437,Kotepho,608.0,Internet,Other,Politics,Philosophy,1506.0
4438,Kotra,747.0,Culture,Health,Entertainment,Biology,1678.0
4439,Kpalion,894.0,Culture,Food and drink,History,Government,5241.0
4440,Kpavery,313.0,History,Geography,Sports,Technology,6300.0
4441,Kpps,130.0,,,,,6827.0
4442,Kraftlos,850.0,Entertainment,Culture,Lists,Religion,258.0
4443,KrakatoaKatie,1158.0,People,Culture,Military,Health,517.0
4444,Kralizec!,1151.0,History,Religion,Culture,Geography,684.0
4445,Kramden4700,464.0,Mass media,Entertainment,People,Technology,7371.0
4446,Kranar,0.0,,,,,
4447,Krash,694.0,Science,Philosophy,Music,Film,4642.0
4448,Krashlandon,867.0,Transportation,Education,Government,Environment,1159.0
4449,Krator,737.0,Gaming,Politics,Society,History,672.0
4450,Kraxler,801.0,Government,Law,History,Society,1305.0
4451,Krazycev13,116.0,Entertainment,People,Culture,,5651.0
4452,Krellis,714.0,Biography,History,Politics,War,2315.0
4453,Kri77777,158.0,Transportation,Technology,Music,Business,3534.0
4454,Kribbeh,605.0,Health,Entertainment,Geography,Culture,3908.0
4455,Krich,736.0,Geography,People,Entertainment,Culture,2888.0
4456,Krimpet,103.0,,,,,237.0
4457,Krisroe,275.0,Religion,Sports,Government,Mass media,3930.0
4458,Krm500,763.0,Sports,People,Entities,Technology,5632.0
4459,Krugs,327.0,Concepts,Nature,Society,Science,5647.0
4460,Krystyn,102.0,Science,,,,
4461,Ks0stm,1300.0,Weather,Geography,Economy,Time,1034.0
4462,Ks64q2,650.0,Health,Education,Entertainment,Business,5127.0
4463,Ksy92003,629.0,Sports,Entertainment,History,Culture,1932.0
4464,Ktr101,978.0,Military,Government,History,Technology,19.0
4465,Ktsquare,773.0,History,Culture,Concepts,Society,6395.0
4466,Kubek15,892.0,Entertainment,Mass media,Lists,Other,4116.0
4467,Kubigula,104.0,People,,,,345.0
4468,Kubura,561.0,History,Society,Geography,Politics,2596.0
4469,Kudpung,1300.0,Geography,Culture,Education,Information,93.0
4470,Kudret,0.0,,,,,
4471,KuduIO,746.0,Politics,Government,People,Economy,2458.0
4473,Kukini,871.0,Education,Health,Poverty,Society,367.0
4474,Kumioko,656.0,People,Economy,Criticism of Qing dynasty's economic performance,Homeland defense,1018.0
4475,KumiokoCleanStart,729.0,History,Military,People,Other,2054.0
4476,Kungfuadam,913.0,Geography,Music,World War II,Nature,98.0
4477,Kungming2,846.0,Education,Entertainment,Technology,Religion,1684.0
4478,Kurdo777,630.0,Politics,History,Government,Military,5596.0
4479,Kurieeto,585.0,Society,Culture,People,Lists,7180.0
4480,Kurtis,891.0,Politics,Society,Human rights,History,581.0
4482,Kuru,,Business,Economy,Information,Technology,
4483,Kurykh,1116.0,Geography,Government,Mass media,Lists,1544.0
4484,Kushal,237.0,Science,Education,Nature,Concepts,
4485,Kushan,105.0,Technology,,,,
4486,Kusma,1221.0,Literature,History,People,Culture,80.0
4487,Kusonaga,733.0,Entertainment,Lists,Concepts,Other,2634.0
4488,Kusunose,694.0,,,,,6365.0
4489,Kuyabribri,1114.0,Entertainment,Sports,Geography,Mass media,1414.0
4490,Kuzaar,752.0,Education,Politics,Law,Food and drink,2373.0
4491,Kwame,100.0,,,,,
4492,Kwekubo,837.0,Humanities,Government,Society,Language,6694.0
4493,Kwh,640.0,Business,Politics,Military,Religion,5638.0
4494,Kwsn,102.0,,,,,847.0
4495,Kwsn-pub,346.0,Music,Technology,Culture,Economy,4530.0
4496,Kww,1154.0,Entertainment,People,Lists,Internet,1700.0
4497,Kyla,419.0,People,Health,Human behavior,Mass media,7291.0
4498,Kylu,752.0,Arts,History,Technology,Literature,701.0
4499,Kyoko,694.0,Health,Nature,Literature,History,1304.0
4500,Kyriakos,749.0,History,Military,Government,Society,2063.0
4501,Kzollman,703.0,Game theory,Philosophy,Science,Academic disciplines,4202.0
4502,Kékrōps,103.0,,,,,4296.0
4503,L,169.0,History,Geography,Transportation,Military,6716.0
4504,L'Aquatique,811.0,Marine biology,Society,People,Lists,1210.0
4505,L0b0t,707.0,Politics,Culture,War,Law,5001.0
4506,L337p4wn,732.0,Business,Law,Copyright law of the United States,Chapter 11,3933.0
4507,L33th4x0rguy,752.0,Technology,Internet,Cybercrime,Legal issues,4534.0
4508,L33tminion,677.0,Entertainment,Education,Culture,Web communities,6231.0
4509,LAAFan,954.0,Sports,History,People,Lists,618.0
4510,LAX,785.0,Mass media,Entertainment,Culture,Lists,2013.0
4511,LAZY,157.0,Culture,Music,Geography,Society,
4512,LFaraone,1077.0,Information,Technology,Knowledge,,
4513,LGA,759.0,Government,History,Politics,Society,
4514,LOL,592.0,Sports,Entertainment,Military,History,7395.0
4515,LOTRrules,551.0,Culture,Religion,Literature,Nature,4887.0
4516,LRG5784,721.0,Transportation,Geography,Technology,Communication,
4517,LUCPOL,664.0,Geography,History,Language,Society,5478.0
4518,LUUSAP,560.0,Technology,Transportation,Internet,Media,3085.0
4519,LWF,708.0,Military,Weapons,History,Engineering,6014.0
4520,La,100.0,,,,,
4521,La goutte de pluie,830.0,Geography,Economy,Government,Mass media,
4522,LaMenta3,799.0,Education,Business,Science,Arts,3330.0
4523,Labelledamesansmerci,132.0,,,,,4629.0
4524,Lader Gwiader,443.0,Culture,Entities,Geography,Language,
4525,LadyofShalott,1157.0,Culture,People,Entertainment,Society,1328.0
4527,Lagrange613,811.0,Education,Economics,Entertainment,Literature,2954.0
4528,Lahiru,0.0,,,,,
4529,Lajolla2009,484.0,Politics,Education,Media,Society,1887.0
4530,Lakers,725.0,History,Military,Art,Sports,1982.0
4531,Lakhim,478.0,Language,History,Health,Entertainment,5714.0
4532,Lalaitshannah,110.0,,,,,7439.0
4533,Laleena,517.0,Religion,Culture,Geography,Philosophy,3523.0
4534,Lambanog,605.0,Economy,Food and drink,Philippines,Technology,964.0
4535,Lambdoid,507.0,Transportation,Education,Systems science,Film,4012.0
4536,Lamberhurst,688.0,Transportation,Human rights,United Kingdom,Lists,5521.0
4537,Lambiam,916.0,Mathematics,History,Politics,Society,4081.0
4538,Lan3y,114.0,Technology,Other,Lists,,4594.0
4539,Landon1980,629.0,Entertainment,Music,Bands,Culture,1781.0
4540,Langloisrg,447.0,Military,Lists,Operations,Government,5603.0
4541,Lankiveil,1086.0,Geography,Australia,People,Religion,12.0
4542,Lanky,748.0,Entertainment,Games,Internet,Technology,1701.0
4544,Lapinmies,682.0,People,Culture,Film,Politics,1118.0
4545,Lar,940.0,Geography,History,Infrastructure,Engineering,50.0
4546,LaraBot,410.0,Government,Biography,,,3668.0
4547,LaraLove,103.0,,,,,285.0
4548,LarryQ,634.0,History,Law,Society,Politics,5943.0
4549,Laser,100.0,,,,,
4550,Latebird,748.0,History,Military,Geography,Culture,4765.0
4551,LatinoMuslim,887.0,Religion,Culture,Language,Community,
